,Enrichment Ratio
Purine metabolism,2.415458937
Pyrimidine metabolism,1.606425703
Glycerophospholipid metabolism,0.873362445
Pantothenate and CoA biosynthesis,0.826446281
Ether lipid metabolism,0.787401575
Glutathione metabolism,0.561797753
"Glycine, serine and threonine metabolism",0.476190476
Cysteine and methionine metabolism,0.476190476
Biosynthesis of unsaturated fatty acids,0.436681223
Arginine and proline metabolism,0.41322314
Tryptophan metabolism,0.383141762
Primary bile acid biosynthesis,0.341296928
Steroid hormone biosynthesis,0.184501845
