,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,1.680672269
Purine metabolism,1.007751938
Pyrimidine metabolism,0.902061856
Nitrogen metabolism,0.840336134
Ascorbate and aldarate metabolism,0.628930818
Taurine and hypotaurine metabolism,0.628930818
Vitamin B6 metabolism,0.558659218
Pentose and glucuronate interconversions,0.558659218
Arachidonic acid metabolism,0.557880056
Caffeine metabolism,0.502512563
Sphingolipid metabolism,0.4784689
Pentose phosphate pathway,0.456621005
Cysteine and methionine metabolism,0.456621005
Tryptophan metabolism,0.367647059
Glutathione metabolism,0.359066427
Arginine biosynthesis,0.358422939
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.358422939
Butanoate metabolism,0.334448161
Primary bile acid biosynthesis,0.327510917
Aminoacyl-tRNA biosynthesis,0.313807531
Histidine metabolism,0.313479624
Glycerophospholipid metabolism,0.278940028
Biosynthesis of unsaturated fatty acids,0.278940028
Pantothenate and CoA biosynthesis,0.264550265
Arginine and proline metabolism,0.264200793
Ether lipid metabolism,0.251256281
Fatty acid biosynthesis,0.213675214
Lysine degradation,0.200803213
"Alanine, aspartate and glutamate metabolism",0.179533214
Porphyrin and chlorophyll metabolism,0.167504188
Glyoxylate and dicarboxylate metabolism,0.156985871
"Glycine, serine and threonine metabolism",0.152207002
Amino sugar and nucleotide sugar metabolism,0.13568521
Fatty acid elongation,0.128865979
Fatty acid degradation,0.128865979
Tyrosine metabolism,0.119617225
Steroid hormone biosynthesis,0.118343195
