,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",4.87804878
Phenylalanine metabolism,2.941176471
Aminoacyl-tRNA biosynthesis,2.642276423
Vitamin B6 metabolism,2.169197397
Phosphonate and phosphinate metabolism,1.62601626
Histidine metabolism,1.219512195
Ascorbate and aldarate metabolism,1.219512195
"Valine, leucine and isoleucine biosynthesis",1.219512195
"Glycine, serine and threonine metabolism",1.183431953
Ubiquinone and other terpenoid-quinone biosynthesis,1.084598698
Arginine and proline metabolism,1.028277635
Pantothenate and CoA biosynthesis,1.025641026
Pyrimidine metabolism,1
Caffeine metabolism,0.980392157
Biotin metabolism,0.980392157
beta-Alanine metabolism,0.930232558
Sphingolipid metabolism,0.930232558
Cysteine and methionine metabolism,0.887573964
Tryptophan metabolism,0.714285714
Arginine biosynthesis,0.699300699
"Alanine, aspartate and glutamate metabolism",0.696864111
Glutathione metabolism,0.696864111
Nicotinate and nicotinamide metabolism,0.649350649
Glyoxylate and dicarboxylate metabolism,0.609756098
Pentose and glucuronate interconversions,0.543478261
Arachidonic acid metabolism,0.54200542
Selenocompound metabolism,0.487804878
Purine metabolism,0.45045045
Lysine degradation,0.390625
Porphyrin and chlorophyll metabolism,0.325732899
Glycerophospholipid metabolism,0.27100271
Biosynthesis of unsaturated fatty acids,0.27100271
Amino sugar and nucleotide sugar metabolism,0.263852243
Fatty acid elongation,0.25
Fatty acid degradation,0.25
Steroid biosynthesis,0.23255814
Tyrosine metabolism,0.23255814
Primary bile acid biosynthesis,0.212314225
Fatty acid biosynthesis,0.20746888
Steroid hormone biosynthesis,0.114810563
