,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",7.326007326
Aminoacyl-tRNA biosynthesis,3.963414634
Vitamin B6 metabolism,3.25203252
Phenylalanine metabolism,2.928257687
Phosphonate and phosphinate metabolism,2.43902439
Histidine metabolism,1.834862385
"Valine, leucine and isoleucine biosynthesis",1.828153565
"Glycine, serine and threonine metabolism",1.777777778
Ubiquinone and other terpenoid-quinone biosynthesis,1.62601626
Arginine and proline metabolism,1.538461538
Pantothenate and CoA biosynthesis,1.538461538
Caffeine metabolism,1.464128843
Biotin metabolism,1.464128843
beta-Alanine metabolism,1.398601399
Tryptophan metabolism,1.071428571
"Alanine, aspartate and glutamate metabolism",1.047120419
Arginine biosynthesis,1.044932079
Nicotinate and nicotinamide metabolism,0.980392157
Glyoxylate and dicarboxylate metabolism,0.913242009
Cysteine and methionine metabolism,0.888888889
Pyrimidine metabolism,0.751879699
Selenocompound metabolism,0.729927007
Sphingolipid metabolism,0.699300699
Lysine degradation,0.584795322
Glutathione metabolism,0.523560209
Porphyrin and chlorophyll metabolism,0.487804878
Purine metabolism,0.45045045
Glycerophospholipid metabolism,0.406504065
Tyrosine metabolism,0.348432056
Primary bile acid biosynthesis,0.318471338
Steroid hormone biosynthesis,0.17211704
