,Enrichment Ratio
"Neomycin, kanamycin and gentamicin biosynthesis",3.355704698
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.350083752
D-Glutamine and D-glutamate metabolism,2.234636872
Phenylalanine metabolism,2.013422819
Aminoacyl-tRNA biosynthesis,1.955307263
Riboflavin metabolism,1.675041876
Vitamin B6 metabolism,1.492537313
Histidine metabolism,1.255230126
Phosphonate and phosphinate metabolism,1.117318436
Nitrogen metabolism,1.117318436
"Glycine, serine and threonine metabolism",1.016260163
Glutathione metabolism,0.956937799
Arginine biosynthesis,0.956937799
Nicotinate and nicotinamide metabolism,0.892857143
Arginine and proline metabolism,0.881834215
Ascorbate and aldarate metabolism,0.840336134
"Valine, leucine and isoleucine biosynthesis",0.840336134
Taurine and hypotaurine metabolism,0.840336134
Cysteine and methionine metabolism,0.81300813
Ubiquinone and other terpenoid-quinone biosynthesis,0.746268657
"Alanine, aspartate and glutamate metabolism",0.717703349
Pantothenate and CoA biosynthesis,0.706713781
Pyrimidine metabolism,0.687285223
Caffeine metabolism,0.67114094
Biotin metabolism,0.67114094
beta-Alanine metabolism,0.638977636
Sphingolipid metabolism,0.638977636
Glyoxylate and dicarboxylate metabolism,0.628930818
Purine metabolism,0.515995872
Glycolysis / Gluconeogenesis,0.515463918
Tryptophan metabolism,0.490998363
Porphyrin and chlorophyll metabolism,0.447427293
Butanoate metabolism,0.446428571
Pentose and glucuronate interconversions,0.373134328
Starch and sucrose metabolism,0.373134328
Arachidonic acid metabolism,0.372439479
Biosynthesis of unsaturated fatty acids,0.372439479
Amino sugar and nucleotide sugar metabolism,0.362318841
Selenocompound metabolism,0.33557047
Pentose phosphate pathway,0.304878049
Primary bile acid biosynthesis,0.29154519
Lysine degradation,0.268096515
Galactose metabolism,0.248138958
Steroid hormone biosynthesis,0.236220472
Inositol phosphate metabolism,0.223713647
Glycerophospholipid metabolism,0.186219739
Fatty acid elongation,0.171821306
Fatty acid degradation,0.171821306
Drug metabolism - other enzymes,0.171821306
Tyrosine metabolism,0.159744409
Fatty acid biosynthesis,0.142653352
