,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",2.894356006
"Neomycin, kanamycin and gentamicin biosynthesis",2.89017341
D-Glutamine and D-glutamate metabolism,2.884615385
Phenylalanine metabolism,1.734104046
Aminoacyl-tRNA biosynthesis,1.688781665
Histidine metabolism,1.449275362
Riboflavin metabolism,1.447178003
Vitamin B6 metabolism,1.282051282
"Glycine, serine and threonine metabolism",1.052631579
Phosphonate and phosphinate metabolism,0.961538462
Nitrogen metabolism,0.961538462
Arginine and proline metabolism,0.913242009
Cysteine and methionine metabolism,0.877192982
Arginine biosynthesis,0.826446281
Glutathione metabolism,0.826446281
Nicotinate and nicotinamide metabolism,0.772200772
Ascorbate and aldarate metabolism,0.724637681
"Valine, leucine and isoleucine biosynthesis",0.724637681
Taurine and hypotaurine metabolism,0.724637681
Ubiquinone and other terpenoid-quinone biosynthesis,0.641025641
"Alanine, aspartate and glutamate metabolism",0.619834711
Pantothenate and CoA biosynthesis,0.609756098
Pyrimidine metabolism,0.59347181
Caffeine metabolism,0.578034682
Biotin metabolism,0.578034682
beta-Alanine metabolism,0.550964187
Sphingolipid metabolism,0.550964187
Glyoxylate and dicarboxylate metabolism,0.542495479
Purine metabolism,0.446428571
Glycolysis / Gluconeogenesis,0.445434298
Tryptophan metabolism,0.423728814
Butanoate metabolism,0.386100386
Porphyrin and chlorophyll metabolism,0.386100386
Pentose and glucuronate interconversions,0.321543408
Starch and sucrose metabolism,0.321543408
Arachidonic acid metabolism,0.321543408
Biosynthesis of unsaturated fatty acids,0.321543408
Amino sugar and nucleotide sugar metabolism,0.312989045
Selenocompound metabolism,0.289017341
Pentose phosphate pathway,0.263157895
Primary bile acid biosynthesis,0.251572327
Lysine degradation,0.231481481
Galactose metabolism,0.214132762
Steroid hormone biosynthesis,0.204081633
Inositol phosphate metabolism,0.193050193
Glycerophospholipid metabolism,0.160771704
Fatty acid elongation,0.148367953
Fatty acid degradation,0.148367953
Drug metabolism - other enzymes,0.148367953
Steroid biosynthesis,0.137741047
Tyrosine metabolism,0.137741047
Fatty acid biosynthesis,0.123152709
