,Enrichment Ratio
Purine metabolism,1.553166069
Ascorbate and aldarate metabolism,0.970873786
Taurine and hypotaurine metabolism,0.970873786
Lipoic acid metabolism,0.970873786
Arachidonic acid metabolism,0.862068966
Pyrimidine metabolism,0.796812749
Phenylalanine metabolism,0.775193798
Sphingolipid metabolism,0.740740741
Pentose phosphate pathway,0.706713781
alpha-Linolenic acid metabolism,0.598802395
Primary bile acid biosynthesis,0.506756757
Glycerolipid metabolism,0.485436893
Retinol metabolism,0.456621005
Pentose and glucuronate interconversions,0.431034483
Pantothenate and CoA biosynthesis,0.408163265
Fructose and mannose metabolism,0.387596899
Fatty acid biosynthesis,0.330578512
Lysine degradation,0.310559006
Galactose metabolism,0.287356322
Phosphatidylinositol signaling system,0.27700831
Inositol phosphate metabolism,0.259067358
"Glycine, serine and threonine metabolism",0.235294118
Cysteine and methionine metabolism,0.235294118
Glycerophospholipid metabolism,0.215517241
"Valine, leucine and isoleucine degradation",0.194174757
Steroid biosynthesis,0.184842884
Drug metabolism - cytochrome P450,0.141242938
Metabolism of xenobiotics by cytochrome P450,0.114155251
