,Enrichment Ratio
"Neomycin, kanamycin and gentamicin biosynthesis",4.854368932
"Phenylalanine, tyrosine and tryptophan biosynthesis",4.842615012
Phenylalanine metabolism,2.912621359
Aminoacyl-tRNA biosynthesis,2.02020202
Linoleic acid metabolism,1.937984496
Arachidonic acid metabolism,1.617250674
Phosphonate and phosphinate metabolism,1.615508885
Sphingolipid metabolism,1.382488479
Purine metabolism,1.343283582
Histidine metabolism,1.212121212
Ascorbate and aldarate metabolism,1.212121212
"Valine, leucine and isoleucine biosynthesis",1.212121212
Cysteine and methionine metabolism,1.176470588
Ubiquinone and other terpenoid-quinone biosynthesis,1.077586207
Vitamin B6 metabolism,1.077586207
Arginine and proline metabolism,1.020408163
Pantothenate and CoA biosynthesis,1.020408163
Caffeine metabolism,0.970873786
Biotin metabolism,0.970873786
beta-Alanine metabolism,0.921658986
Tryptophan metabolism,0.709219858
Arginine biosynthesis,0.694444444
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.694444444
Nicotinate and nicotinamide metabolism,0.64516129
"Glycine, serine and threonine metabolism",0.588235294
Retinol metabolism,0.571428571
Glycerophospholipid metabolism,0.539083558
Pentose and glucuronate interconversions,0.537634409
Starch and sucrose metabolism,0.537634409
Amino sugar and nucleotide sugar metabolism,0.523560209
Pyrimidine metabolism,0.497512438
Ether lipid metabolism,0.485436893
Pentose phosphate pathway,0.440528634
Lysine degradation,0.387596899
Glycolysis / Gluconeogenesis,0.373134328
Galactose metabolism,0.358422939
Glutathione metabolism,0.346020761
Inositol phosphate metabolism,0.323624595
Glyoxylate and dicarboxylate metabolism,0.303030303
Biosynthesis of unsaturated fatty acids,0.269541779
Drug metabolism - other enzymes,0.248756219
Tyrosine metabolism,0.230946882
