,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",5.988023952
"Neomycin, kanamycin and gentamicin biosynthesis",5.988023952
Phenylalanine metabolism,3.597122302
Linoleic acid metabolism,2.398081535
Aminoacyl-tRNA biosynthesis,2.244389027
Sphingolipid metabolism,1.714285714
Arachidonic acid metabolism,1.666666667
Ascorbate and aldarate metabolism,1.497005988
"Valine, leucine and isoleucine biosynthesis",1.497005988
Histidine metabolism,1.492537313
Purine metabolism,1.47601476
Cysteine and methionine metabolism,1.454545455
Ubiquinone and other terpenoid-quinone biosynthesis,1.331557923
Pantothenate and CoA biosynthesis,1.257861635
Biotin metabolism,1.199040767
beta-Alanine metabolism,1.142857143
Arginine and proline metabolism,0.94637224
Arginine biosynthesis,0.854700855
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.854700855
Nicotinate and nicotinamide metabolism,0.8
"Glycine, serine and threonine metabolism",0.727272727
Retinol metabolism,0.704225352
Pentose and glucuronate interconversions,0.666666667
Starch and sucrose metabolism,0.666666667
Amino sugar and nucleotide sugar metabolism,0.647249191
Tryptophan metabolism,0.584795322
Pentose phosphate pathway,0.543478261
Lysine degradation,0.4784689
Glycolysis / Gluconeogenesis,0.460829493
Galactose metabolism,0.444444444
Glutathione metabolism,0.427350427
Inositol phosphate metabolism,0.4
Glyoxylate and dicarboxylate metabolism,0.374531835
Biosynthesis of unsaturated fatty acids,0.333333333
Pyrimidine metabolism,0.307692308
Tyrosine metabolism,0.285714286
