,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.745318352
"Neomycin, kanamycin and gentamicin biosynthesis",3.745318352
D-Glutamine and D-glutamate metabolism,2.5
Phenylalanine metabolism,2.255639098
Aminoacyl-tRNA biosynthesis,1.875
Riboflavin metabolism,1.872659176
Linoleic acid metabolism,1.499250375
Histidine metabolism,1.408450704
Purine metabolism,1.268742791
Arachidonic acid metabolism,1.25
Phosphonate and phosphinate metabolism,1.25
Nitrogen metabolism,1.25
Cysteine and methionine metabolism,1.136363636
Sphingolipid metabolism,1.071428571
Arginine biosynthesis,1.069518717
Arginine and proline metabolism,0.986193294
Ascorbate and aldarate metabolism,0.934579439
"Valine, leucine and isoleucine biosynthesis",0.934579439
Taurine and hypotaurine metabolism,0.934579439
Lipoic acid metabolism,0.934579439
Pentose and glucuronate interconversions,0.833333333
Ubiquinone and other terpenoid-quinone biosynthesis,0.833333333
Vitamin B6 metabolism,0.833333333
Pantothenate and CoA biosynthesis,0.790513834
Caffeine metabolism,0.751879699
Biotin metabolism,0.751879699
beta-Alanine metabolism,0.714285714
Pentose phosphate pathway,0.682593857
Pyrimidine metabolism,0.576923077
Tryptophan metabolism,0.548446069
"Alanine, aspartate and glutamate metabolism",0.536193029
Glutathione metabolism,0.536193029
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.534759358
Butanoate metabolism,0.5
Nicotinate and nicotinamide metabolism,0.5
Glyoxylate and dicarboxylate metabolism,0.468384075
"Glycine, serine and threonine metabolism",0.454545455
Retinol metabolism,0.440528634
Starch and sucrose metabolism,0.416666667
Glycerophospholipid metabolism,0.416666667
Amino sugar and nucleotide sugar metabolism,0.405679513
Selenocompound metabolism,0.374531835
Ether lipid metabolism,0.374531835
Lysine degradation,0.3003003
Glycolysis / Gluconeogenesis,0.288184438
Galactose metabolism,0.277777778
Inositol phosphate metabolism,0.25
Porphyrin and chlorophyll metabolism,0.25
Biosynthesis of unsaturated fatty acids,0.208333333
Drug metabolism - other enzymes,0.192307692
Tyrosine metabolism,0.178571429
Primary bile acid biosynthesis,0.16286645
Metabolism of xenobiotics by cytochrome P450,0.110253583
Steroid hormone biosynthesis,0.088495575
