,Enrichment Ratio
Ascorbate and aldarate metabolism,1.522070015
Taurine and hypotaurine metabolism,1.522070015
Pyrimidine metabolism,1.25
Phenylalanine metabolism,1.218026797
alpha-Linolenic acid metabolism,0.934579439
Glycerolipid metabolism,0.763358779
"Glycine, serine and threonine metabolism",0.73800738
Fructose and mannose metabolism,0.609756098
Sphingolipid metabolism,0.581395349
Glycolysis / Gluconeogenesis,0.46728972
Galactose metabolism,0.45045045
"Alanine, aspartate and glutamate metabolism",0.434782609
Phosphatidylinositol signaling system,0.434782609
Inositol phosphate metabolism,0.406504065
Cysteine and methionine metabolism,0.36900369
Glycerophospholipid metabolism,0.337837838
Tyrosine metabolism,0.289855072
Steroid hormone biosynthesis,0.286532951
Primary bile acid biosynthesis,0.264550265
Aminoacyl-tRNA biosynthesis,0.253807107
Purine metabolism,0.187265918
