,Enrichment Ratio
Ascorbate and aldarate metabolism,2.212389381
Taurine and hypotaurine metabolism,2.212389381
Phenylalanine metabolism,1.769911504
alpha-Linolenic acid metabolism,1.360544218
Glycerolipid metabolism,1.10619469
Fructose and mannose metabolism,0.884955752
Galactose metabolism,0.653594771
"Alanine, aspartate and glutamate metabolism",0.632911392
Phosphatidylinositol signaling system,0.632911392
Inositol phosphate metabolism,0.588235294
Steroid hormone biosynthesis,0.416666667
Primary bile acid biosynthesis,0.384615385
Aminoacyl-tRNA biosynthesis,0.36900369
Purine metabolism,0.272479564
