,Enrichment Ratio
Ascorbate and aldarate metabolism,1.219512195
Taurine and hypotaurine metabolism,1.219512195
Pyrimidine metabolism,1
Phenylalanine metabolism,0.980392157
alpha-Linolenic acid metabolism,0.751879699
Glycerolipid metabolism,0.609756098
Purine metabolism,0.600600601
"Glycine, serine and threonine metabolism",0.591715976
Biosynthesis of unsaturated fatty acids,0.54200542
Fructose and mannose metabolism,0.487804878
Sphingolipid metabolism,0.465116279
Glycolysis / Gluconeogenesis,0.37593985
Galactose metabolism,0.36101083
"Alanine, aspartate and glutamate metabolism",0.348432056
Glutathione metabolism,0.348432056
Phosphatidylinositol signaling system,0.348432056
Steroid hormone biosynthesis,0.344431688
Inositol phosphate metabolism,0.325732899
Cysteine and methionine metabolism,0.295857988
Glycerophospholipid metabolism,0.27100271
Fatty acid elongation,0.25
Fatty acid degradation,0.25
Tyrosine metabolism,0.23255814
Primary bile acid biosynthesis,0.212314225
Fatty acid biosynthesis,0.20746888
Aminoacyl-tRNA biosynthesis,0.203252033
